Country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Sweden,1525.0,1688.0,1782.0,1861.0,2150.0,2425.0,2510.0,2413.0,2862.0,3218.0,3562.0,3611.0,3892.0,475.0,4719.0,4757.0,4760.0,5069.0,5377.0,5494.0,,257.0,257.0,5988.0,5983.0,1393.0,4325.0,,4733.0,4237.0,3770.0,3900.0,4210.0,4705.0,4813.0,4716.0,4595.0,4779.0,4692.0,4455.0,4252.0,4358.0,4591.0,4967.0,4953.0,4910.0,5148.0,5153.0,5066.0,5227.0,5518.0,5754.0,5707.0,5978.0,5723.0,5466.0,5673.0,5198.0,2804.0,4846.0,4867.0,4326.0,4404.0,4539.0,4557.0,4817.0,4926.0,4654.0
United Kingdom,15889.0,916681.0,17891.0,18817.0,20108.0,20990.0,22047.0,19880.0,20510.0,24695.0,22440.0,20820.0,22882.0,26651.0,27440.0,24706.0,24279.0,26277.0,26846.0,28316.0,,25431.0,25431.0,22323.0,20099.0,22274.0,20411.0,20341.0,21464.0,11277.0,15573.0,13704.0,14986.0,15121.0,15722.0,14725.0,17414.0,18950.0,18740.0,17841.0,16474.0,16212.0,16625.0,17286.0,17604.0,17992.0,18501.0,17315.0,16298.0,15155.0,13543.0,11667.0,13268.0,13766.0,13239.0,13871.0,14317.0,13521.0,10074.0,9708.0,9478.0,9579.0,11858.0,12033.0,10907.0,7635.0,7491.0,7268.0
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,70.0,70.0,233.0,209.0,137.0,210.0,205.0,143.0,28.0,20.0,19.0,19.0,0.0,23.0,3.0,22.0,16.0,5.0,80.0,140.0,140.0,143.0,180.0,206.0,263.0,0.0,0.0,0.0,221.0,390.0,464.0,500.0,550.0,560.0,150.0,50.0
Bosnia And Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,82.0,85.0,60.0,77.0,84.0,74.0,95.0,75.0,289.0,490.0,533.0,608.0,519.0,592.0,649.0,700.0,722.0,793.0,819.0,806.0,756.0,695.0
Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,137.0,67.0,33.0,2.0,19.0,45.0,45.0,161.0,260.0,260.0,291.0,309.0,310.0,354.0,359.0,253.0,270.0,292.0,386.0,217.0,100.0,188.0,121.0,169.0,273.0,266.0
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,170.0,130.0,130.0,140.0,120.0,70.0,140.0,150.0,120.0,120.0,120.0
Norway,74.0,88.0,111.0,121.0,171.0,290.0,350.0,371.0,426.0,490.0,499.0,488.0,542.0,614.0,676.0,730.0,795.0,812.0,849.0,869.0,883.0,0.0,916.0,0.0,0.0,886.0,704.0,197.0,891.0,862.0,848.0,768.0,876.0,916.0,930.0,836.0,837.0,869.0,678.0,383.0,438.0,446.0,505.0,456.0,505.0,511.0,585.0,637.0,610.0,679.0,640.0,698.0,703.0,725.0,705.0,684.0,708.0,560.0,595.0,530.0,610.0,700.0,605.0,600.0,590.0,620.0,603.0,575.0
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,1662.0,1061.0,1254.0,1324.0,346.0,396.0,583.0,955.0,1173.0,1477.0,1973.0
Switzerland,144.0,156.0,157.0,150.0,166.0,171.0,234.0,244.0,250.0,275.0,157.0,318.0,322.0,345.0,347.0,347.0,445.0,453.0,500.0,524.0,532.0,32.0,584.0,92.0,0.0,345.0,656.0,784.0,886.0,929.0,934.0,835.0,835.0,978.0,987.0,1075.0,866.0,988.0,1064.0,1105.0,1171.0,1238.0,1254.0,1098.0,739.0,700.0,789.0,800.0,800.0,1000.0,1000.0,1000.0,1000.0,1000.0,1158.0,1252.0,1264.0,1312.0,934.0,1320.0,1400.0,1450.0,1530.0,1475.0,1475.0,1500.0,1450.0,1500.0
Turkey,135.0,153.0,163.0,169.0,188.0,193.0,176.0,160.0,214.0,266.0,282.0,242.0,331.0,405.0,581.0,842.0,996.0,1109.0,1170.0,1312.0,,1557.0,1354.0,1590.0,1703.0,1972.0,1902.0,,2396.0,2536.0,2425.0,3183.0,3834.0,4330.0,4832.0,5891.0,6981.0,7983.0,7848.0,9443.0,9398.0,10343.0,11519.0,12624.0,13183.0,13624.0,14475.0,14144.0,14313.0,14325.0,14981.0,16467.0,18298.0,20478.0,20965.0,23315.0,25754.0,26806.0,25304.0,29143.0,34107.0,35885.0,34654.0,34035.0,31517.0,33163.0,37524.0,37312.0
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,125.0,250.0,250.0,330.0,300.0,150.0,150.0,120.0,120.0,120.0,120.0,173.0,180.0,180.0,180.0,180.0,200.0
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1105.0,946.0,880.0,744.0,886.0,1219.0,1412.0,1448.0,1502.0,1486.0,1484.0,1591.0,1792.0,2027.0,2324.0,2410.0,2589.0,2417.0,2530.0,2614.0,2687.0,2245.0,2513.0,2510.0,2188.0,2343.0,2470.0
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5675.0,4279.0,2969.0,3028.0,3216.0,3889.0,3121.0,4099.0,4769.0,4655.0,4814.0,4898.0,5385.0,4451.0,4269.0,4782.0,4250.0,4146.0,4220.0,4699.0,3676.0,3275.0,3681.0,3910.0,4289.0,4641.0,3964.0
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,604.0,633.0,663.0,646.0,811.0,735.0,796.0,908.0,967.0,514.0,850.0,1013.0,1049.0,677.0,965.0,885.0,426.0,240.0,313.0,335.0,190.0,351.0,443.0,126.0,469.0,497.0
